"Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Län","Pris..Y.","Märkell"
"1329","2022","suv","4","289","svart","södermanland","359800","mg_r"
"1100","2021","kombi","2","157","svart","östergötland","269900","mg_5"
"730","2022","suv","2","180","vit","jönköping","389900","mg_marvel"
"2190","2021","suv","2","143","vit","blekinge","219800","mg_zs"
"1766","2022","suv","4","289","vit","kronoberg","389900","mg_r"
"2896","2022","kombi","2","157","vit","kalmar","334800","mg_5"
"500","2022","suv","2","157","svart","södermanland","319900","mg_zs"
"2716","2022","suv","2","157","svart","kronoberg","294800","mg_zs"
"2148","2021","suv","2","143","röd","kronoberg","214800","mg_zs"
"3694","2022","suv","2","157","grå","kronoberg","294800","mg_zs"
"1000","2022","sedan","2","177","vit","jönköping","309900","mg_5"
"1600","2022","suv","4","289","vit","jönköping","457900","mg_r"
"1295","2022","suv","2","157","vit","dalarna","289900","mg_zs"
"1940","2022","suv","2","180","grå","västmanland","369900","mg_r"
"2650","2022","kombi","2","177","röd","västra götaland","311750","mg_5"
"500","2022","kombi","2","157","röd","kalmar","329900","mg_5"
"2336","2022","kombi","2","177","svart","jönköping","279800","mg_5"
"700","2023","halvkombi","4","436","grön","kronoberg","437000","mg_4"
"500","2022","suv","2","180","vit","östergötland","399900","mg_r"
"500","2022","kombi","2","177","grå","blekinge","344500","mg_5"
"950","2022","halvkombi","2","204","svart","södermanland","339800","mg_4"
"950","2022","suv","2","157","vit","södermanland","334800","mg_zs"
"2500","2022","kombi","2","157","svart","kalmar","339900","mg_5"
"950","2022","suv","2","157","vit","södermanland","334800","mg_zs"
"900","2022","kombi","2","157","röd","östergötland","289900","mg_5"
"4331","2021","suv","2","191","vit","stockholm","408900","mb_eqa"
"7695","2020","suv","4","408","grå","stockholm","473900","mb_eqc"
"6531","2021","suv","2","191","vit","stockholm","434900","mb_eqa"
"1280","2022","suv","4","229","mörkgrå","stockholm","474900","mb_eqa"
"4919","2020","suv","4","408","röd","stockholm","494900","mb_eqc"
"1650","2022","suv","4","229","röd","kalmar","549900","mb_eqb"
"2100","2021","suv","4","408","grå","stockholm","548900","mb_eqc"
"3900","2023","sedan","2","293","svart","kalmar","659000","mb_eqe"
"7629","2022","suv","2","191","mörkgrå","stockholm","434900","mb_eqa"
"1320","2023","sedan","2","245","grå","kalmar","659000","mb_eqe"
"840","2022","suv","2","301","svart","södermanland","499000","ford_mustang"
"3600","2021","halvkombi","2","301","blå","jönköping","438800","ford_mustang"
"1525","2022","sedan","2","301","svart","jönköping","679800","ford_mustang"
"1086","2022","suv","2","301","grå","östergötland","499900","ford_mustang"
"1445","2022","sedan","2","301","vit","östergötland","499900","ford_mustang"
"1097","2022","sedan","2","301","röd","östergötland","499900","ford_mustang"
