"X","Miltal","Modellår","Drivning","Hästkrafter","Färg","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Pris..Y.","Märkell"
120,10283,2020,2,138,"vit","västra götaland",1,0,0,0,219900,"hyundai_ioniq"
121,10895,2021,4,408,"svart","värmland",0,0,0,1,439500,"audi_e-tron"
122,500,2023,2,325,"svart","jönköping",0,0,1,0,639800,"hyundai_ioniq"
123,800,2024,2,218,"grå","kalmar",0,0,0,1,569900,"hyundai_kona"
124,1400,2023,4,300,"svart","västra götaland",0,0,0,1,605000,"audi_q4"
125,2990,2023,4,325,"grå","västra götaland",0,0,1,0,634900,"hyundai_ioniq"
126,600,2023,4,325,"grå","västra götaland",1,0,0,0,619900,"hyundai_ioniq"
127,3730,2020,4,408,"svart","värmland",0,0,0,1,459500,"audi_e-tron"
128,600,2024,4,325,"blå","kalmar",0,0,1,0,639800,"hyundai_ioniq"
129,1000,2023,4,325,"vit","kalmar",0,0,1,0,599900,"hyundai_ioniq"
130,1350,2023,4,325,"blå","jönköping",0,0,1,0,599900,"hyundai_ioniq"
131,500,2024,2,218,"grå","kronoberg",0,0,0,1,595200,"hyundai_kona"
132,1290,2023,4,325,"vit","jönköping",0,0,1,0,609900,"hyundai_ioniq"
133,9900,2020,2,204,"vit","västra götaland",0,0,0,1,259900,"hyundai_kona"
134,800,2024,2,218,"vit","västra götaland",0,0,0,1,549900,"hyundai_kona"
135,1500,2023,4,325,"blå","västra götaland",0,0,1,0,599900,"hyundai_ioniq"
136,800,2023,2,325,"gul","blekinge",0,0,0,1,639800,"hyundai_ioniq"
137,600,2023,4,325,"grå","kronoberg",1,0,0,0,599900,"hyundai_ioniq"
138,850,2023,4,325,"blå","blekinge",0,0,1,0,599900,"hyundai_ioniq"
139,3000,2020,2,120,"vit","skåne",1,0,0,0,229900,"hyundai_ioniq"
140,3683,2022,4,300,"mörkgrå","stockholm",0,0,0,1,457900,"volkswagen_id.4"
141,4423,2021,2,204,"vit","stockholm",0,0,0,1,390900,"volkswagen_id.4"
142,2350,2021,2,204,"mörkgrå","skåne",0,0,0,1,449900,"volkswagen_id.4"
143,2207,2022,4,300,"mörkgrå","stockholm",0,0,0,1,494900,"volkswagen_id.4"
144,2789,2016,2,82,"vit","västerbotten",1,0,0,0,129900,"volkswagen_e-up!"
145,7700,2015,2,82,"silver","västra götaland",1,0,0,0,89000,"volkswagen_e-up!"
146,4478,2020,2,83,"gul","stockholm",1,0,0,0,153900,"volkswagen_e-up!"
147,9471,2020,2,83,"vit","stockholm",1,0,0,0,144900,"volkswagen_e-up!"
148,3438,2022,4,300,"vit","stockholm",0,0,0,1,449900,"volkswagen_id.4"
149,3820,2020,2,204,"vit","stockholm",1,0,0,0,304900,"volkswagen_id.3"
150,2143,2022,4,300,"vit","stockholm",0,0,0,1,455900,"volkswagen_id.4"
151,3253,2021,2,204,"mörkgrå","stockholm",1,0,0,0,278900,"volkswagen_id.3"
152,5500,2021,2,204,"mörkgrå","stockholm",1,0,0,0,351900,"volkswagen_id.3"
153,4969,2021,2,204,"mörkgrå","stockholm",0,0,0,1,379900,"volkswagen_id.4"
154,4431,2021,2,170,"grå","stockholm",0,0,0,1,324900,"volkswagen_id.4"
155,4979,2021,2,204,"blå","stockholm",0,0,0,1,390900,"volkswagen_id.4"
156,2967,2022,4,300,"silver","stockholm",0,0,0,1,458900,"volkswagen_id.5"
157,4878,2018,2,136,"vit","stockholm",1,0,0,0,189900,"volkswagen_e-golf"
158,2969,2021,2,170,"grå","stockholm",0,0,0,1,339900,"volkswagen_id.4"
159,5659,2021,2,204,"blå","stockholm",0,0,0,1,368900,"volkswagen_id.4"
160,4388,2020,2,136,"vit","stockholm",1,0,0,0,211900,"volkswagen_e-golf"
