"X","Miltal","Modellår","Hästkrafter","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Färg_blå","Färg_brun","Färg_grå","Färg_grön","Färg_gul","Färg_ljusgrå","Färg_ljusgrön","Färg_mörkblå","Färg_mörkgrå","Färg_mörkgrön","Färg_orange","Färg_röd","Färg_silver","Färg_svart","Färg_vit","Pris..Y.","Märkell"
71,4085,2021,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,185900,"nissan_leaf"
72,1927,2022,218,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,290900,"nissan_leaf"
73,3998,2021,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181900,"nissan_leaf"
74,3041,2021,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178900,"nissan_leaf"
75,1504,2022,218,"stockholm",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,288900,"nissan_leaf"
76,6106,2019,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176900,"nissan_leaf"
77,2720,2020,150,"jönköping",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,239900,"nissan_leaf"
78,15536,2020,218,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,199900,"nissan_leaf"
79,4468,2021,150,"kalmar",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,245000,"nissan_leaf"
80,9650,2016,109,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,128800,"nissan_leaf"
81,2570,2022,150,"stockholm",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,214900,"nissan_leaf"
82,2723,2016,109,"halland",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129000,"nissan_leaf"
83,2027,2020,150,"skåne",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,199900,"nissan_leaf"
84,567,2023,221,"västerbotten",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,499900,"nissan_ariya"
85,5310,2020,218,"jönköping",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254900,"nissan_leaf"
86,2955,2022,150,"södermanland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209000,"nissan_leaf"
87,2078,2023,243,"stockholm",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,499900,"nissan_ariya"
88,3440,2021,150,"dalarna",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,209900,"nissan_leaf"
89,700,2023,243,"kalmar",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,599900,"nissan_ariya"
90,950,2023,243,"jönköping",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579800,"nissan_ariya"
91,4990,2020,313,"östergötland",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,415900,"audi_e-tron"
92,9208,2020,313,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,354900,"audi_e-tron"
93,5326,2022,408,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,594900,"audi_e-tron"
94,3438,2020,408,"västra götaland",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589800,"audi_e-tron"
95,4937,2020,313,"västra götaland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,399800,"audi_e-tron"
96,500,2023,325,"jönköping",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,589900,"hyundai_ioniq"
97,900,2023,325,"jönköping",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,609900,"hyundai_ioniq"
98,7200,2019,204,"jönköping",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,259900,"hyundai_kona"
99,7213,2018,120,"uppsala",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,169400,"hyundai_ioniq"
100,2133,2021,204,"kronoberg",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,329800,"hyundai_kona"
101,8649,2017,120,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,177900,"hyundai_ioniq"
102,2952,2019,120,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,184000,"hyundai_ioniq"
103,2070,2021,204,"kalmar",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,334900,"hyundai_kona"
104,6900,2020,204,"jönköping",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,269900,"hyundai_kona"
105,4500,2020,313,"västra götaland",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,439000,"audi_e-tron"
106,8897,2022,218,"kronoberg",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419900,"hyundai_ioniq"
107,1554,2023,204,"skåne",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,549000,"audi_q4"
108,4000,2021,218,"jönköping",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459800,"hyundai_ioniq"
109,1700,2023,325,"jönköping",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,599900,"hyundai_ioniq"
110,588,2023,229,"västra götaland",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,549900,"hyundai_ioniq"
111,5937,2020,136,"östergötland",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,229000,"hyundai_ioniq"
