"Miltal","Modellår","Hästkrafter","Färg","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Pris..Y.","Märkell"
3537,2022,325,"svart","stockholm",0,0,0,1,0,1,534900,"kia_ev6"
12900,2019,204,"grå","stockholm",0,0,0,1,1,0,239900,"kia_niro"
1650,2023,204,"grå","skåne",0,0,0,1,1,0,389000,"kia_niro"
5000,2021,204,"vit","skåne",0,0,0,1,1,0,309000,"kia_niro"
1400,2023,229,"grå","skåne",0,0,0,1,1,0,499000,"kia_ev6"
5848,2021,204,"svart","västra götaland",0,0,0,1,1,0,299000,"kia_niro"
1155,2024,385,"vit","västerbotten",0,0,0,1,0,1,809900,"kia_ev9"
520,2023,585,"röd","skåne",0,0,0,1,0,1,649000,"kia_ev6"
4033,2019,111,"vit","västra götaland",0,0,0,1,1,0,165000,"kia_soul"
13237,2016,136,"vit","östergötland",0,0,0,1,1,0,139900,"kia_soul"
3900,2023,204,"vit","skåne",0,0,0,1,1,0,385000,"kia_niro"
4780,2021,204,"röd","dalarna",0,0,0,1,1,0,529000,"kia_ev6"
800,2024,385,"svart","skåne",0,0,0,1,0,1,799000,"kia_ev9"
2690,2021,204,"grå","skåne",0,0,0,1,1,0,339000,"kia_niro"
5412,2021,204,"grå","skåne",0,0,0,1,1,0,279900,"kia_soul"
2000,2023,325,"vit","skåne",0,0,0,1,0,1,579000,"kia_ev6"
6032,2020,204,"svart","västra götaland",0,0,0,1,1,0,279000,"kia_niro"
1100,2024,385,"blå","västra götaland",0,0,0,1,0,1,839000,"kia_ev9"
6140,2020,204,"svart","skåne",0,0,0,1,1,0,279000,"kia_niro"
1000,2024,325,"vit","västra götaland",0,0,0,1,0,1,638400,"kia_ev6"
500,2024,385,"grå","västra götaland",0,0,0,1,0,1,819000,"kia_ev9"
5721,2020,204,"röd","norrbotten",0,0,0,1,1,0,289900,"kia_soul"
6036,2021,204,"svart","örebro",0,0,0,1,1,0,315800,"kia_niro"
2925,2023,325,"vit","västra götaland",0,0,0,1,0,1,569000,"kia_ev6"
1500,2022,177,"grå","kalmar",0,1,0,0,1,0,334900,"mg_5"
4380,2021,289,"svart","blekinge",0,0,0,1,0,1,359800,"mg_r"
3609,2021,143,"röd","jönköping",0,0,0,1,1,0,219400,"mg_zs"
1127,2022,177,"grå","västra götaland",0,1,0,0,1,0,309900,"mg_5"
3579,2020,143,"svart","jönköping",0,0,0,1,1,0,219900,"mg_zs"
3920,2021,157,"vit","kalmar",0,0,0,1,1,0,299800,"mg_zs"
4180,2022,180,"svart","stockholm",0,0,0,1,1,0,329900,"mg_r"
3129,2021,143,"blå","stockholm",0,0,0,1,1,0,209900,"mg_zs"
1650,2020,143,"svart","jönköping",0,0,1,0,1,0,219900,"mg_zs"
1329,2022,289,"svart","södermanland",0,0,0,1,0,1,359800,"mg_r"
1100,2021,157,"svart","östergötland",0,1,0,0,1,0,269900,"mg_5"
730,2022,180,"vit","jönköping",0,0,0,1,1,0,389900,"mg_marvel"
2190,2021,143,"vit","blekinge",0,0,0,1,1,0,219800,"mg_zs"
1766,2022,289,"vit","kronoberg",0,0,0,1,0,1,389900,"mg_r"
2896,2022,157,"vit","kalmar",0,1,0,0,1,0,334800,"mg_5"
500,2022,157,"svart","södermanland",0,0,0,1,1,0,319900,"mg_zs"
2716,2022,157,"svart","kronoberg",0,0,0,1,1,0,294800,"mg_zs"
2148,2021,143,"röd","kronoberg",0,0,0,1,1,0,214800,"mg_zs"
3694,2022,157,"grå","kronoberg",0,0,0,1,1,0,294800,"mg_zs"
1000,2022,177,"vit","jönköping",0,0,1,0,1,0,309900,"mg_5"
1600,2022,289,"vit","jönköping",0,0,0,1,0,1,457900,"mg_r"
1295,2022,157,"vit","dalarna",0,0,0,1,1,0,289900,"mg_zs"
1940,2022,180,"grå","västmanland",0,0,0,1,1,0,369900,"mg_r"
2650,2022,177,"röd","västra götaland",0,1,0,0,1,0,311750,"mg_5"
500,2022,157,"röd","kalmar",0,1,0,0,1,0,329900,"mg_5"
2336,2022,177,"svart","jönköping",0,1,0,0,1,0,279800,"mg_5"
700,2023,436,"grön","kronoberg",1,0,0,0,0,1,437000,"mg_4"
500,2022,180,"vit","östergötland",0,0,0,1,1,0,399900,"mg_r"
500,2022,177,"grå","blekinge",0,1,0,0,1,0,344500,"mg_5"
950,2022,204,"svart","södermanland",1,0,0,0,1,0,339800,"mg_4"
950,2022,157,"vit","södermanland",0,0,0,1,1,0,334800,"mg_zs"
2500,2022,157,"svart","kalmar",0,1,0,0,1,0,339900,"mg_5"
950,2022,157,"vit","södermanland",0,0,0,1,1,0,334800,"mg_zs"
900,2022,157,"röd","östergötland",0,1,0,0,1,0,289900,"mg_5"
4331,2021,191,"vit","stockholm",0,0,0,1,1,0,408900,"mb_eqa"
7695,2020,408,"grå","stockholm",0,0,0,1,0,1,473900,"mb_eqc"
6531,2021,191,"vit","stockholm",0,0,0,1,1,0,434900,"mb_eqa"
1280,2022,229,"mörkgrå","stockholm",0,0,0,1,0,1,474900,"mb_eqa"
4919,2020,408,"röd","stockholm",0,0,0,1,0,1,494900,"mb_eqc"
1650,2022,229,"röd","kalmar",0,0,0,1,0,1,549900,"mb_eqb"
2100,2021,408,"grå","stockholm",0,0,0,1,0,1,548900,"mb_eqc"
3900,2023,293,"svart","kalmar",0,0,1,0,1,0,659000,"mb_eqe"
7629,2022,191,"mörkgrå","stockholm",0,0,0,1,1,0,434900,"mb_eqa"
1320,2023,245,"grå","kalmar",0,0,1,0,1,0,659000,"mb_eqe"
840,2022,301,"svart","södermanland",0,0,0,1,1,0,499000,"ford_mustang"
3600,2021,301,"blå","jönköping",1,0,0,0,1,0,438800,"ford_mustang"
1525,2022,301,"svart","jönköping",0,0,1,0,1,0,679800,"ford_mustang"
1086,2022,301,"grå","östergötland",0,0,0,1,1,0,499900,"ford_mustang"
